start,end,date,lat,long,districts,wards,communities,grid,road_available,road_type/paved,road_type/gravel,road_type/dirt,road_type/other,road_type/na_dn,road_type/none,signal,water_point_condition,water_source_type,water_connected,water_lift_mechanism,water_lift_mechanism_type,water_mechanism_plate,water_developer,water_manager,water_pay,water_functioning,water_not_functioning/missing_parts,water_not_functioning/lift_broken,water_not_functioning/kiosk_broken,water_not_functioning/poor_water,water_not_functioning/water_source_dry,water_not_functioning/under_construction,water_not_functioning/improperly_constr,water_not_functioning/na_dn,water_not_functioning/other,water_not_functioning/none,water_not_functioning_other,other_point_1km,water_used_season,animal_point,animal_number
2012-02-12T12:08:47.415Z,2012-02-12T12:12:14.214Z,2012-02-12,8.31764078,-3.78965059,northern,kidal,tessalit,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,protected_well,no,no,n/a,n/a,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T12:33:05.221Z,2012-02-12T12:38:05.938Z,2012-02-12,8.3181662,-3.79344722,northern,kidal,tessalit,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T13:36:17.435Z,2012-02-12T13:39:52.203Z,2012-02-12,8.32513683,-3.78980109,northern,kidal,tessalit,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,community,no,no,False,False,False,False,True,False,False,False,False,False,n/a,yes,year_round,yes,50_to_500
2012-02-12T12:38:44.693Z,2012-02-12T12:44:17.689Z,2012-02-12,8.32009278,-3.79345623,northern,kidal,tessalit,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T11:55:16.766Z,2012-02-12T11:58:26.785Z,2012-02-12,8.31374505,-3.79175831,northern,kidal,tessalit,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,no,n/a,n/a,local_autority,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T10:44:44.752Z,2012-02-12T10:49:52.363Z,2012-02-12,8.31427905,-3.78756926,northern,kidal,tessalit,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,borehole,yes,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-12T14:18:36.672Z,2012-02-12T14:21:59.362Z,2012-02-12,8.31943646,-3.78762623,northern,kidal,tessalit,grid_further_500_m,yes,False,False,True,False,False,False,low,broken,unprotected_well,no,no,n/a,n/a,state_government,community,no,no,False,False,False,True,False,False,False,False,False,False,n/a,yes,year_round,no,n/a
2012-02-12T12:19:14.087Z,2012-02-12T12:24:19.090Z,2012-02-12,8.31838159,-3.79051604,northern,kidal,tessalit,grid_further_500_m,yes,False,False,True,False,False,False,low,broken,borehole,no,yes,hand_pump,no,international,community,no,no,False,False,False,False,False,False,True,False,False,False,n/a,yes,year_round,no,n/a
2012-02-11T09:42:02.123Z,2012-02-11T09:52:12.308Z,2012-02-11,8.14226857,-3.96259719,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,False,True,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,international,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-11T09:42:55.022Z,2012-02-11T09:48:34.639Z,2012-02-11,8.15011783,-3.96278861,northern,kidal,bourem_inaly,grid_further_500_m,no,n/a,n/a,n/a,n/a,n/a,n/a,low,functioning,borehole,no,yes,manual_power,no,local_autority,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T09:50:58.698Z,2012-02-11T09:55:31.310Z,2012-02-11,8.15393234,-3.95940782,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,broken,unprotected_well,no,no,n/a,n/a,community,individual,no,no,False,False,False,True,True,False,True,False,False,False,n/a,yes,year_round,no,n/a
2012-02-11T11:07:15.506Z,2012-02-11T11:11:40.993Z,2012-02-11,8.15026904,-3.96118424,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,True,False,False,False,low,functioning,unprotected_well,no,yes,manual_power,no,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T10:06:15.199Z,2012-02-11T10:10:10.890Z,2012-02-11,8.15619665,-3.95833531,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,borehole,no,yes,hand_pump,no,local_autority,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,yes,50_to_500
2012-02-11T09:57:44.094Z,2012-02-11T10:04:21.368Z,2012-02-11,8.14516976,-3.96469842,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,no,n/a,n/a,community,community,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T09:53:56.431Z,2012-02-11T09:57:33.076Z,2012-02-11,8.14564932,-3.96403426,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,no,n/a,n/a,individual,individual,no,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,year_round,no,n/a
2012-02-11T09:31:39.887Z,2012-02-11T09:36:34.634Z,2012-02-11,8.14821938,-3.96283289,northern,kidal,bourem_inaly,grid_further_500_m,yes,False,True,False,False,False,False,low,functioning,unprotected_well,no,no,n/a,n/a,individual,individual,no,no,False,False,False,False,True,False,False,False,False,False,n/a,yes,dry_season,yes,10_to_50
